Survived,Pclass,Age,Fare,Sex
1,1,Adult,Low,female
1,1,Adult,Low,female
0,1,Senior,Low,male
1,3,Young,Low,female
1,1,Senior,Low,female
1,2,Adult,Low,male
1,1,Adult,Low,male
0,1,Young,High,male
1,1,Adult,Low,female
0,1,Senior,Low,male
0,1,Adult,Low,male
1,2,Adult,Low,female
0,3,Young,Low,male
1,1,Young,High,female
0,1,Adult,Low,male
0,1,Senior,Low,male
1,1,Young,Low,male
0,1,Young,Low,male
0,1,Adult,Low,male
0,1,Young,Medium,male
1,2,Adult,Low,female
0,1,Senior,Low,male
1,1,Young,Low,female
0,1,Adult,Low,male
0,1,Young,Low,male
0,2,Adult,Low,male
1,1,Young,Low,female
0,1,Senior,Low,male
0,1,Senior,Low,male
0,1,Adult,Low,female
1,2,Young,Low,male
1,2,Young,Low,male
1,1,Adult,Low,female
1,1,Senior,Medium,female
0,3,Young,Low,female
1,1,Adult,Low,male
1,1,Adult,Low,female
1,1,Adult,Low,female
1,1,Adult,Low,male
1,1,Adult,Low,female
0,1,Adult,Low,male
1,1,Adult,Low,male
0,3,Adult,Low,female
0,1,Senior,Low,male
1,1,Adult,Low,female
0,1,Adult,Low,male
0,1,Adult,Low,male
1,1,Senior,Medium,female
1,1,Adult,Medium,female
0,1,Adult,Low,male
1,1,Senior,Low,female
1,1,Young,Low,female
0,2,Adult,Low,male
0,1,Young,Medium,female
1,1,Adult,Medium,female
1,1,Young,Medium,male
1,1,Young,Low,female
1,1,Adult,Low,female
1,1,Young,Low,female
1,1,Young,High,female
1,1,Adult,Medium,female
1,1,Adult,Medium,female
1,1,Adult,Medium,female
1,2,Adult,Low,female
1,1,Young,Low,female
0,1,Adult,Low,male
0,1,Adult,Medium,male
0,1,Adult,Low,male
1,1,Adult,Medium,female
0,1,Adult,Low,male
1,2,Young,Low,male
1,1,Young,High,female
1,2,Young,Low,female
1,1,Young,Low,female
1,1,Senior,Low,female
1,1,Young,Low,female
1,1,Young,Low,male
0,1,Young,Medium,male
1,1,Adult,Low,male
1,1,Young,Low,female
1,3,Young,Low,female
1,1,Adult,Low,female
1,3,Adult,Low,male
1,1,Adult,Low,male
0,1,Adult,Low,male
1,1,Young,Low,female
0,1,Senior,High,male
1,1,Young,Low,male
1,1,Adult,Low,male
0,1,Adult,Low,male
1,1,Adult,Low,male
0,1,Senior,Low,male
1,1,Adult,Low,male
0,1,Adult,Low,male
1,2,Young,Low,female
1,1,Young,Low,male
1,1,Adult,Low,female
0,1,Senior,Low,male
0,1,Senior,Low,male
1,1,Senior,Low,female
0,1,Young,Medium,female
1,1,Young,Low,female
0,1,Young,Low,male
1,1,Adult,Low,male
0,1,Adult,Low,male
1,2,Adult,Low,female
1,1,Adult,Low,female
1,1,Adult,Low,female
0,1,Adult,Low,male
1,1,Young,Low,female
1,1,Adult,Low,female
0,1,Adult,Low,male
1,1,Young,Low,male
1,1,Adult,Low,female
1,1,Adult,Low,female
1,1,Adult,Low,female
1,1,Adult,Low,male
1,1,Adult,Low,female
1,1,Adult,Low,female
0,1,Adult,Low,male
1,1,Young,Low,female
1,1,Senior,Low,male
1,1,Adult,Low,female
1,1,Adult,Low,male
1,1,Adult,Medium,female
1,2,Young,Low,female
1,1,Adult,Low,male
0,1,Senior,Low,male
1,1,Young,Low,female
1,1,Senior,Low,male
1,1,Adult,Low,male
1,1,Young,Low,female
1,1,Adult,Low,male
1,1,Senior,Low,male
0,1,Senior,Low,male
0,1,Adult,Low,male
0,1,Adult,Low,male
1,1,Adult,Very High,male
1,1,Young,Low,male
1,1,Young,Medium,female
1,1,Adult,Low,male
0,1,Adult,Low,male
0,3,Adult,Low,male
1,1,Young,Medium,female
1,1,Adult,Low,male
1,1,Adult,Low,male
1,1,Young,Low,female
1,1,Adult,Low,male
0,3,Young,Low,male
1,1,Adult,Medium,female
1,2,Young,Low,female
1,1,Young,Low,male
1,1,Adult,Medium,female
1,1,Adult,Very High,male
0,1,Adult,Low,male
1,1,Young,High,female
0,1,Senior,Low,male
0,1,Young,Low,male
1,3,Young,Low,male
1,1,Adult,Low,female
1,1,Adult,Low,female
1,1,Adult,Low,female
0,2,Senior,Low,female
1,1,Adult,Medium,female
1,1,Young,Low,female
0,1,Adult,Low,male
0,1,Adult,Low,male
1,1,Adult,Low,female
1,1,Young,Low,male
0,1,Adult,Low,male
1,1,Adult,Low,female
1,1,Adult,Low,female
1,3,Young,Low,female
1,1,Adult,Low,female
1,1,Young,Low,female
1,1,Adult,Low,male
1,1,Adult,Low,female
0,1,Adult,Low,male
1,1,Adult,Low,female
0,1,Adult,Low,male
1,1,Senior,Low,female
1,1,Young,Low,female
1,1,Young,Low,male
